N bic bdeu fnml qnml
10 18 30 26 27
10 18 30 27 24
10 18 30 28 23
10 18 30 28 24
10 18 30 29 26
10 18 31 23 22
10 18 31 23 26
10 18 31 23 26
10 18 31 24 27
10 18 31 25 22
10 18 31 25 23
10 18 31 25 23
10 18 31 25 24
10 18 31 27 23
10 18 31 27 24
10 18 31 27 27
10 18 31 28 23
10 18 31 28 24
10 18 31 28 25
10 18 31 28 26
10 18 31 28 26
10 18 31 28 27
10 18 31 29 21
10 18 31 29 24
10 18 31 29 28
10 18 31 29 28
10 18 31 30 25
10 18 31 30 25
10 18 31 30 26
10 18 31 30 31
10 18 31 31 28
10 18 32 23 21
10 18 32 29 20
10 18 32 29 27
10 18 32 30 26
10 18 32 32 25
10 18 32 33 27
10 18 33 14 21
10 18 33 22 24
10 18 33 23 24
10 18 33 25 20
10 18 33 25 20
10 18 33 25 21
10 18 33 26 23
10 18 33 26 23
10 18 33 26 25
10 18 33 27 21
10 18 33 29 26
10 18 33 31 25
10 18 34 25 24
10 18 34 26 22
10 18 34 27 26
10 18 34 34 24
10 18 35 24 25
10 18 35 25 22
10 18 35 26 22
10 18 35 26 26
10 18 39 23 24
10 18 41 33 29
10 19 23 18 19
10 19 24 24 22
10 19 25 23 21
10 19 25 23 23
10 19 25 27 23
10 19 26 21 24
10 19 26 22 24
10 19 26 24 23
10 19 26 25 21
10 19 26 27 24
10 19 26 27 26
10 19 27 21 22
10 19 27 22 25
10 19 27 24 24
10 19 27 25 22
10 19 27 27 20
10 19 27 27 25
10 19 27 28 25
10 19 28 22 26
10 19 28 24 27
10 19 28 26 25
10 19 28 28 23
10 19 28 28 23
10 19 28 28 24
10 19 29 24 20
10 19 29 25 24
10 19 29 27 26
10 19 29 27 27
10 19 29 28 27
10 19 30 21 24
10 19 30 26 27
10 19 30 27 26
10 19 30 28 27
10 19 30 29 22
10 19 30 29 23
10 19 30 29 25
10 19 31 20 22
10 19 31 27 23
10 19 31 27 28
10 19 31 27 29
10 19 31 28 26
10 19 31 29 26
10 19 31 30 25
10 19 31 30 26
10 19 31 30 28
10 19 32 28 26
10 19 33 25 24
10 19 33 28 22
10 19 33 28 24
10 19 33 30 25
10 19 33 31 28
10 19 34 25 26
10 19 34 26 24
10 19 34 28 27
10 19 34 29 24
10 19 35 25 24
10 19 35 26 23
10 19 35 29 26
10 19 35 30 25
10 19 35 30 25
10 19 35 32 28
10 19 36 24 23
10 19 36 25 23
10 20 27 26 24
10 20 28 23 24
10 20 28 27 26
10 20 30 26 22
10 20 31 24 22
10 20 31 25 20
10 20 31 28 27
10 20 31 29 21
10 20 31 29 26
10 20 31 31 27
10 20 32 26 30
10 20 32 31 25
10 20 33 25 24
10 20 33 31 26
10 20 34 31 25
10 20 35 31 28
10 21 26 28 24
10 21 30 30 28
10 21 31 30 23
10 21 35 28 26
10 22 33 24 22
20 10 21 19 20
20 10 21 20 17
20 10 21 26 16
20 10 30 27 26
20 10 31 23 20
20 11 20 24 18
20 11 21 22 18
20 11 21 25 20
20 11 22 20 16
20 11 23 16 24
20 11 23 19 14
20 11 23 19 21
20 11 23 23 19
20 11 24 19 22
20 11 24 20 20
20 11 24 25 19
20 11 24 26 22
20 11 24 30 22
20 11 25 23 20
20 11 25 26 22
20 11 26 20 21
20 11 26 21 23
20 11 26 24 21
20 11 27 22 24
20 11 27 24 24
20 11 27 25 14
20 11 27 25 21
20 11 27 26 25
20 11 27 27 22
20 11 27 28 20
20 11 27 29 28
20 11 28 25 20
20 11 28 25 20
20 11 29 27 22
20 11 32 24 24
20 12 14 16 17
20 12 17 19 22
20 12 18 19 15
20 12 19 17 15
20 12 20 21 15
20 12 20 27 22
20 12 21 20 21
20 12 21 21 17
20 12 21 21 24
20 12 21 25 20
20 12 22 13 14
20 12 22 17 21
20 12 22 20 13
20 12 22 20 19
20 12 22 25 20
20 12 22 27 21
20 12 22 28 24
20 12 22 29 19
20 12 22 31 24
20 12 23 20 19
20 12 23 20 21
20 12 23 22 14
20 12 23 22 19
20 12 23 23 20
20 12 23 25 21
20 12 24 17 18
20 12 24 18 25
20 12 24 19 23
20 12 24 21 20
20 12 24 21 23
20 12 24 23 21
20 12 24 24 18
20 12 24 25 18
20 12 24 25 20
20 12 24 27 18
20 12 25 16 21
20 12 25 20 18
20 12 25 20 19
20 12 25 20 26
20 12 25 21 20
20 12 25 21 21
20 12 25 23 27
20 12 25 24 21
